,NMI_cluster/label,ARI_cluster/label,ASW_label,ASW_label/batch,cell_cycle_conservation,isolated_label_F1,isolated_label_silhouette,graph_conn,iLISI,cLISI,hvg_overlap,Bio_Conservation_avg,Batch_Correction_avg,Final_Score,Time
scvi,0.77776933,0.697823485,0.648301765,0.76961456,0.399754348,0.098360656,0.554982465,0.937964134,0.028155766,1,0.507111111,0.585512895,0.578578153,0.582738998,475.0246532
scanvi,0.76842206,0.755478764,0.655649737,0.757748293,0.421916742,0.047619048,0.443978231,0.903560106,0.029375745,1,0.53,0.577883073,0.563561381,0.572154396,522.599077
scanorama,0.824690624,0.65083852,0.644676223,0.798562158,0.897121319,0.102189781,0.675841957,0.959668007,0.149624954,1,0.281555556,0.634614248,0.635951706,0.635149231,72.94953799
combat,0.913568361,0.947648811,0.592942573,0.891053582,0.930982735,0.102941176,0.669363499,0.977982476,0.096782646,0.999737612,0.589111111,0.718286985,0.655272901,0.693081351,6.000887871
scgen,0.961354736,0.981538714,0.701454341,0.767601668,0.84423842,0.134615385,0.823702395,0.988250033,0.381226862,1,0.483555556,0.741307443,0.712359521,0.729728274,109.5301771
Seurat,0.900499332,0.929679648,0.649660736,0.824851401,0.928372861,0.212121212,0.687787145,0.985294342,0.459143041,1,0.378,0.710765117,0.756429595,0.729030908,619.332
ABC,0.906416268,0.940266574,0.682715043,0.781269309,0.836365568,0.042682927,0.623183444,0.99040274,0.368587021,1,0.421111111,0.681592617,0.71341969,0.694323446,199.4145994
AutoClass,0.808922404,0.559322401,0.596889839,0.774308269,0.670430491,0.107692308,0.822014511,0.986668165,0.011507201,1,0.585777778,0.643881216,0.590827878,0.622659881,150.6898587
