,NMI_cluster/label,ARI_cluster/label,ASW_label,ASW_label/batch,cell_cycle_conservation,isolated_label_F1,isolated_label_silhouette,graph_conn,iLISI,cLISI,hvg_overlap,Bio_Conservation_avg,Batch_Correction_avg,Final_Score,Time
scvi,0.714040215,0.399244021,0.468483314,0.770133026,0.781215641,0.684766214,0.587820902,0.915936177,0.003627782,0.999164068,0.542375,0.647138672,0.563232328,0.613576134,590.3470571
scanvi,0.705184788,0.378580042,0.465191931,0.766141748,0.753192626,0.573363431,0.542568605,0.866475043,0.000886398,0.999456001,0.543625,0.620145303,0.544501063,0.589887607,668.0381184
scanorama,0.723828334,0.477561649,0.576884575,0.833453471,0.874191015,0.833679834,0.705481514,0.808536993,0.08996049,0.998200757,0.34375,0.69169721,0.577316985,0.64594512,157.0655322
combat,0.713059253,0.502692935,0.563021347,0.900427478,0.834106262,0.711072664,0.639379352,0.952646981,0.067302705,0.995558722,0.4725,0.678923817,0.640125721,0.663404579,11.58415604
scgen,0.95988724,0.967110649,0.720883965,0.756721408,0.752287689,0.984431138,0.788947999,0.994465993,0.141420042,1,0.40525,0.822349835,0.630869148,0.74575756,215.9279568
Seurat,0.637437031,0.507992566,0.533120684,0.837071781,0.578171091,0.753180662,0.576059684,0.898417872,0.244335756,0.959832292,0.252625,0.599802376,0.659941803,0.623858147,2115.658
ABC,0.986688839,0.984578681,0.722766414,0.844076755,0.693808049,1,0.701240972,0.99978057,0.106000434,1,0.185625,0.784338494,0.649952586,0.730584131,386.2233307
AutoClass,0.864654654,0.676363569,0.626683429,0.823625014,0.768103524,0.989272944,0.798881501,0.976005512,0.036133629,1,0.443625,0.770948078,0.611921385,0.707337401,270.1015842
