,NMI_cluster/label,ARI_cluster/label,ASW_label,ASW_label/batch,isolated_label_F1,isolated_label_silhouette,graph_conn,iLISI,cLISI,Bio_Conservation_avg,Batch_Correction_avg,Final_Score,Time
scvi,0.604980852,0.513052077,0.526166562,0.754592948,0.877537212,0.595016904,0.975174812,0.257435529,0.960506349,0.679543326,0.662401097,0.672686434,348.7154591
scanvi,0.63533822,0.558925189,0.519283665,0.749426754,0.855267955,0.558096036,0.974391987,0.262113327,0.962594362,0.681584238,0.661977356,0.673741485,376.9364812
scanorama,0.498585889,0.34232173,0.521183053,0.840778435,0.634237605,0.489185101,0.959220163,0.514891568,0.878345462,0.56064314,0.771630055,0.645037906,35.16624689
combat,0.535744991,0.285113465,0.551930029,0.874502646,0.603672986,0.412499309,0.98282591,0.292266892,0.942802993,0.555293962,0.716531816,0.619789104,4.711805105
scgen,0.726500591,0.700521033,0.672787905,0.694342544,0.88826423,0.556772105,0.98758171,0.478272079,0.995656149,0.756750335,0.720065444,0.742076379,74.11692309
Seurat,0.516926909,0.33547037,0.549836267,0.868280979,0.348159183,0.395030618,0.963124281,0.499191796,0.919501344,0.510820782,0.776865685,0.617238743,135.075
ABC,0.974028987,0.989088831,0.729344383,0.763407944,0.973507594,0.722596824,0.999549704,0.547008149,1,0.898094437,0.769988599,0.846852102,146.9989686
AutoClass,0.716756896,0.591337979,0.594706871,0.735642658,0.929628293,0.491865573,0.9923392,0.495925896,0.995948286,0.72004065,0.741302585,0.728545424,101.067199
