,NMI_cluster/label,ARI_cluster/label,ASW_label,ASW_label/batch,isolated_label_F1,isolated_label_silhouette,graph_conn,iLISI,cLISI,Bio_Conservation_avg,Batch_Correction_avg,Final_Score,Time
scvi,0.610408823,0.425599919,0.6011777,0.801469099,0.901135886,0.676396906,0.983396968,0.014850173,0.981880904,0.699433356,0.599905413,0.659622179,322.0778847
scanvi,0.631040283,0.5388257,0.599907197,0.795545903,0.912845931,0.67414552,0.98487616,0.01170253,0.981810729,0.723095893,0.597374865,0.672807482,352.6486409
scanorama,0.583663953,0.384651805,0.547450434,0.811830137,0.779803647,0.58047618,0.94794364,0.291509839,0.94328101,0.636554505,0.683761205,0.655437185,29.95346665
combat,0.635587453,0.416417808,0.554203406,0.867310224,0.831754623,0.441388112,0.986907525,0.211005687,0.974610724,0.642327021,0.688407812,0.660759337,4.537538767
scgen,0.738053286,0.709752774,0.690867081,0.698288604,0.934472934,0.697171673,0.993922827,0.395811933,0.997647304,0.794660842,0.696007788,0.755199621,80.93232107
Seurat,0.607741668,0.398609182,0.551481053,0.851394074,0.299003322,0.399064697,0.896504051,0.641304942,0.943012173,0.533152016,0.796401022,0.638451618,147.923
ABC,0.931153221,0.945378325,0.620657511,0.73412728,0.970843184,0.578574158,0.99874568,0.578346815,1,0.841101066,0.770406592,0.812823277,139.2534499
AutoClass,0.906740946,0.915112927,0.636249974,0.775509938,0.96784831,0.630966634,0.990962824,0.44330913,1,0.842819798,0.736593964,0.800329465,93.40433741
