,NMI_cluster/label,ARI_cluster/label,ASW_label,ASW_label/batch,isolated_label_F1,isolated_label_silhouette,graph_conn,iLISI,cLISI,Bio_Conservation_avg,Batch_Correction_avg,Final_Score,Time
scvi,0.550338311,0.406729502,0.564871915,0.82582023,0.909836066,0.58199133,0.984710055,0.026057325,0.981237957,0.66583418,0.61219587,0.644378856,328.4546225
scanvi,0.547121916,0.400567416,0.558488674,0.829485342,0.915052161,0.582684241,0.975628599,0.013915885,0.974140712,0.663009187,0.606343275,0.640342822,362.4736273
scanorama,0.453047316,0.297310499,0.524510575,0.816755883,0.621229926,0.501060538,0.949218663,0.379081057,0.970390888,0.56125829,0.715018534,0.622762388,27.54504371
combat,0.46224684,0.371724672,0.535186745,0.952776118,0.671822136,0.529585846,0.980771213,0.410697856,0.919738087,0.581717388,0.781415062,0.661596457,4.377671957
scgen,0.715672965,0.765247431,0.597986132,0.883067721,0.78368356,0.557535049,0.989597842,0.528486778,0.994537807,0.735777157,0.800384113,0.76161994,81.54813695
Seurat,0.345072011,0.239126726,0.513047742,0.911478754,0.459704881,0.499373415,0.971094086,0.5079079,0.871214455,0.487923205,0.796826913,0.611484688,155.677
ABC,0.964962219,0.973741556,0.709775761,0.803709418,0.985757121,0.68710807,0.998924737,0.493816018,1,0.886890788,0.765483391,0.838327829,142.1457992
AutoClass,0.841652699,0.671522071,0.60890092,0.803530455,0.985107967,0.675362974,0.996468589,0.079827877,0.999485594,0.797005371,0.626608974,0.728846812,100.509264
