Dataset,Execution Time
small_atac_windows,80.93232107
small_atac_peaks,74.11692309
small_atac_gene_activity,81.54813695
human_pancreas_norm_complexBatch,109.5301771
Lung_atlas_public,215.9279568
Immune_ALL_hum_mou,629.9021597
